school,grade,normalized_grade,section,unit,topic,index
primary,3,3,수와 연산,덧셈과 뺄셈,세 자리 수의 덧셈,c2366006-f26d-5c5c-b581-45aa044295bd
primary,3,3,수와 연산,덧셈과 뺄셈,세 자리 수의 뺄셈,c91bba0a-9507-5443-b45a-1fe1792ebfed
primary,3,3,수와 연산,덧셈과 뺄셈,덧셈과 뺄셈 어림하기,1dfab729-0d0e-50d4-a4ee-3b6af6f61d98
primary,3,3,수와 연산,곱셈,(한 자리 수)×(두 자리 수),c4f26c93-7036-510a-996e-41b8c408d0ef
primary,3,3,수와 연산,곱셈,(세 자리 수)x(한 자리 수),9fa0ed8b-2ece-5f39-a76c-07a1844cf2b9
primary,3,3,수와 연산,나눗셈,똑같이 묶어 나누기,ac8b9aa0-dbd6-5afc-a654-dbea1da174f3
primary,3,3,수와 연산,나눗셈,나머지가 있는 (몇십몇)÷(몇) 계산,e151516a-7316-5154-8f6a-8129ce0737c2
primary,3,3,수와 연산,나눗셈,(몇십)÷(몇) 계산,02db55b7-ce21-5e3a-a1b3-4109bd0cf5f0
primary,3,3,수와 연산,나눗셈,(몇십몇)÷(몇) 계산,51dc3038-09cd-511f-a9d3-a8bf71d1591d
primary,3,3,수와 연산,분수와 소수,분수,4d34c2f7-fc44-5671-8ef5-435655aa3602
primary,3,3,수와 연산,분수와 소수,분수의 크기 비교,7e0131c2-8e87-5cc2-9416-2ee5001277d4
primary,3,3,도형과 측정,평면도형,각,14dce9d2-2701-5b5c-8173-de89e4d7cf16
primary,3,3,도형과 측정,평면도형,정사각형,738736e7-ffe5-5f6e-83cf-25ab97dafb92
primary,3,3,도형과 측정,평면도형,직사각형,b95d0948-6801-50f9-ab9a-2c5ea2fd7a80
primary,3,3,도형과 측정,평면도형,"선분, 반직선, 직선",0a9df0e5-d21b-5a2f-8545-64411d29c7a0
primary,3,3,도형과 측정,평면도형,직각삼각형,6da9f33f-7c93-536e-ba82-3147ce10e364
primary,3,3,도형과 측정,원,"원의 중심, 반지름, 지름",0c342c05-7138-51c5-8100-6b743be7b363
primary,3,3,도형과 측정,원,원의 성질,649fe4b1-08f4-5151-873d-0e15d26c5455
primary,3,3,도형과 측정,길이의 시간,1 m보다 큰 단위,9302de9c-bf0c-58e3-869f-810341888d2c
primary,3,3,도형과 측정,길이의 시간,길이와 거리를 어림하고 재기,ef8dff6f-0847-5720-af2e-08ae2dc28086
primary,3,3,도형과 측정,길이와 시간,시간의 뺄셈,2e4b7528-7498-5187-9c9b-dc23688bdb3e
primary,3,3,도형과 측정,길이와 시간,시간의 덧셈,4851b883-9f87-58b8-8c14-6d0afc11d22b
primary,3,3,도형과 측정,길이와 시간,1분보다 작은 단위,aac6b20d-dc27-5dd3-aa23-a84a69505a95
primary,3,3,도형과 측정,들이와 무게,들이의 단위,fc354f44-5081-5da0-935d-bb5a97409e31
primary,3,3,도형과 측정,들이와 무게,들이 비교하기,733891e5-b075-5f60-b6b5-7ee1454e435d
primary,3,3,도형과 측정,들이와 무게,무게의 단위,64b63af1-9e6e-565c-8afc-9b77606ae954
primary,3,3,도형과 측정,들이와 무게,무게 비교하기,58e4b6e8-89ff-57ac-ab76-a398eb9a33de
primary,3,3,자료와 가능성,자료와 그림그래프,그림그래프를 통해 알아보기,b4178c5c-5a67-593a-b735-66589e8d037e
primary,3,3,자료와 가능성,자료와 그림그래프,그림그래프로 나타내는 방법,70e0327c-ee0b-5584-a6b9-91beb469a57e
primary,3,3,자료와 가능성,자료와 그림그래프,자료를 수집하여 그림그래프로 나타내기,a5109284-780f-541c-bed0-367db5115934
