code,grade,section,unit,objectives
4수01-03,"3,4",수와 연산,덧셈과 뺄셈,세 자리 수의 덧셈과 뺄셈의 계산 원리를 이해하고 그 계산을 할 수 있다.
4수01-04,"3,4",수와 연산,곱셈,곱하는 수가 한 자리 수 또는 두 자리 수인 곱셈의 계산 원리를 이해하고 그 계산을 할 수 있다.
4수01-05,"3,4",수와 연산,곱셈과 나눗셈,"나눗셈이 이루어지는 실생활 상황과 연결하여 나눗셈의 의미를 알고, 곱셈과 나눗셈의 관계를 이해한다."
4수01-06,"3,4",수와 연산,나눗셈,"나누는 수가 한 자리 수인 나눗셈의 계산 원리를 이해하고 그 계산을 할 수 있으며, 나눗셈에서 몫과 나머지의 의미를 안다."
4수01-07,"3,4",수와 연산,나눗셈,나누는 수가 두 자리 수인 나눗셈의 계산 원리를 이해하고 그 계산을 할 수 있다.
4수01-09,"3,4",수와 연산,분수와 소수,"양의 등분할을 통하여 분수의 필요성을 인식하고, 분수를 이해하고 읽고 쓸 수 있다."
4수01-10,"3,4",수와 연산,분수와 소수,"단위분수, 진분수, 가분수, 대분수를 알고, 그 관계를 이해한다."
4수01-11,"3,4",수와 연산,분수와 소수,"분모가 같은 분수끼리, 단위분수끼리 크기를 비교하고 그 방법을 설명할 수 있다."
4수01-12,"3,4",수와 연산,분수와 소수,분모가 10인 진분수와 연결하여 소수 한 자리 수를 이해하고 읽고 쓸 수 있다.
4수01-13,"3,4",수와 연산,분수와 소수,자릿값의 원리를 바탕으로 소수 두 자리 수와 소수 세 자리 수를 이해하고 읽고 쓸 수 있다.
4수01-14,"3,4",수와 연산,분수와 소수,소수의 크기를 비교하고 그 방법을 설명할 수 있다.
4수01-15,"3,4",수와 연산,분수의 덧셈과 뺄셈,분모가 같은 분수의 덧셈과 뺄셈의 계산 원리를 이해하고 그 계산을 할 수 있다.
4수01-16,"3,4",수와 연산,소수의 덧셈과 뺄셈,소수 두 자리 수의 범위에서 소수의 덧셈과 뺄셈의 계산 원리를 이해하고 그 계산을 할 수 있다.
4수02-01,"3,4",변화와 관계,규칙 찾기,"다양한 변화 규칙을 찾아 설명하고, 그 규칙을 수나 식으로 나타낼 수 있다."
